iShares Russell 2000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"283,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ORA","ORMAT TECH INC","Utilities","Equity","139,795,888.56","0.20","139,795,888.56","1,520,843.00","91.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","139,536,019.82","0.20","139,536,019.82","4,747,738.00","29.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","139,515,509.24","0.20","139,515,509.24","2,850,746.00","48.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITRI","ITRON INC","Information Technology","Equity","136,198,258.00","0.20","136,198,258.00","1,130,276.00","120.50","United States","NASDAQ","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Industrials","Equity","136,113,191.16","0.19","136,113,191.16","3,707,796.00","36.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","135,878,535.00","0.19","135,878,535.00","525,500.00","258.57","United States","NASDAQ","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","135,759,283.44","0.19","135,759,283.44","2,138,952.00","63.47","United States","NASDAQ","USD","1.00","USD","-"
"MARA","MARA HOLDINGS INC","Information Technology","Equity","135,543,052.20","0.19","135,543,052.20","8,627,820.00","15.71","United States","NASDAQ","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","135,455,544.40","0.19","135,455,544.40","644,045.00","210.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","134,082,818.22","0.19","134,082,818.22","3,520,158.00","38.09","United States","NASDAQ","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","133,543,652.70","0.19","133,543,652.70","736,630.00","181.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE INC","Information Technology","Equity","133,545,991.55","0.19","133,545,991.55","2,637,685.00","50.63","United States","NASDAQ","USD","1.00","USD","-"
