iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UNP","UNION PACIFIC CORP","Industrials","Equity","94,221,525.20","0.21","94,221,525.20","436,130.00","216.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","93,125,943.12","0.21","93,125,943.12","97,079.00","959.28","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","90,794,286.80","0.20","90,794,286.80","465,230.00","195.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","90,218,376.60","0.20","90,218,376.60","2,701,149.00","33.40","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","89,741,490.64","0.20","89,741,490.64","361,511.00","248.24","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","88,572,429.79","0.20","88,572,429.79","297,193.00","298.03","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","88,162,675.25","0.20","88,162,675.25","935,413.00","94.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","86,920,489.17","0.20","86,920,489.17","923,409.00","94.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","84,904,695.54","0.19","84,904,695.54","178,199.00","476.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","81,665,336.76","0.18","81,665,336.76","1,230,641.00","66.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
